23902583,oneway,yes
23902583,bicycle,yes
23902583,highway,residential
23902583,name:es,Calle del músico Guridi
23902583,maxspeed,30
23902877,name,Avenida de Zarautz kalea
23902877,oneway,yes
23902877,bicycle,yes
23902877,highway,residential
23902877,maxspeed,30
23902996,name,Calle Resurreción María de Azkue kalea
23902996,oneway,yes
23902996,highway,residential
23903044,name,Calle Xalbador bertsolaria kalea
23903044,oneway,yes
23903044,bicycle,yes
23903044,highway,residential
23903044,maxspeed,30
23903073,name,Pedro Mari ugartemendia
23903073,oneway,yes
23903073,bicycle,yes
23903073,highway,residential
23903073,name:es,Calle Pedro Mari ugartemendia
23903073,maxspeed,30
23903086,name,Antonio Arzak kalea
23903086,oneway,yes
23903086,bicycle,yes
23903086,highway,residential
23903086,maxspeed,30
23903121,name,Calle Antonio Gaztañeta kalea
23903121,oneway,yes
23903121,highway,residential
23903154,name,Calle José Goikoa kalea
23903154,oneway,yes
23903154,bicycle,yes
23903154,highway,residential
23903154,name:es,Calle de Jose Goikoa
23903154,maxspeed,30
23903175,name,Calle Oihenart kalea
23903175,bicycle,yes
23903175,highway,pedestrian
23903189,name,Calle Simona de Lajust kalea
23903189,bicycle,yes
23903189,highway,pedestrian
23903197,name,Pedro Mari ugartemendia kalea
23903197,oneway,yes
23903197,bicycle,yes
23903197,highway,residential
23903197,name:es,Calle Pedro Mari ugartemendia
23903197,maxspeed,30
23903209,name,Calle José Goikoa kalea
23903209,oneway,yes
23903209,bicycle,yes
23903209,highway,residential
23903209,maxspeed,30
23903274,name,Manuel Lekuona kalea
23903274,highway,residential
23903274,created_by,Potlatch 0.8a
23903307,foot,no
23903307,name,Europa plaza
23903307,highway,secondary
23903307,junction,roundabout
23904956,name,Benta Berri Plaza
23904956,oneway,yes
23904956,bicycle,yes
23904956,highway,residential
23904956,maxspeed,30
23905020,name,Bretxako merkalgunea
23905020,shop,mall
23905020,building,yes
23905055,name,Bretxako merkatalgunea
23905055,shop,mall
23905055,landuse,retail
23905055,name:es,Mercado de la Brecha
23905055,building,yes
23905055,wheelchair,yes
23905573,name,Universidad de Deusto
23905573,amenity,university
23905573,name:en,University of Deusto
23905573,name:es,Universidad de Deusto
23905573,name:eu,Deustuko unibertsitatea
23905789,name,Elkano kalea
23905789,bicycle,yes
23905789,highway,pedestrian
23905789,name:es,Calle Elcano
23905941,name,San Martin merkatalgunea
23905941,shop,mall
23905941,building,retail
23905941,addr:city,Donostia - San Sebastián
23905941,wheelchair,yes
23905941,addr:street,Urbieta kalea
23905941,addr:housename,Mercado de San Martín
23905967,name,Txurruka kalea
23905967,bicycle,yes
23905967,highway,pedestrian
23905967,name:es,Calle Churruca
23905989,name,Legazpi kalea
23905989,oneway,yes
23905989,highway,tertiary
23905989,name:es,Calle Legazpia
23906026,name,Idiakez kalea
23906026,oneway,yes
23906026,highway,tertiary
23906026,name:es,Calle Idiaquez
23908470,oneway,yes
23908470,highway,secondary
23908981,name,Calle Manuel Lekuona kalea
23908981,bicycle,yes
23908981,highway,pedestrian
23908982,name,Calle Bengoetxea kalea
23908982,oneway,yes
23908982,highway,residential
23908983,name,Peñaflorida kalea
23908983,oneway,yes
23908983,highway,residential
23908983,name:es,Calle Peñaflorida
23908983,maxspeed,30
23908984,name,Gipuzkoa plaza
23908984,bicycle,yes
23908984,highway,pedestrian
23908984,name:es,Plaza de Guipúzcoa
23908985,name,Gipuzkoa plaza
23908985,oneway,yes
23908985,highway,pedestrian
23908985,name:es,Plaza de Guipúzcoa
23908986,name,Gipuzkoa plaza
23908986,oneway,yes
23908986,highway,residential
23908986,name:es,Plaza de Guipúzcoa
23908986,maxspeed,30
23908987,name,Andia kalea
23908987,oneway,yes
23908987,highway,residential
23908987,name:es,Calle Andia
23908987,maxspeed,30
23909233,name,Camino kalea
23909233,oneway,yes
23909233,highway,residential
23909233,name:es,Calle Camino
23909234,name,Santa Katalina kalea
23909234,oneway,yes
23909234,highway,pedestrian
23909234,name:es,Calle Santa Catalina
23909235,name,Calle Etxaide kalea
23909235,oneway,yes
23909235,highway,residential
23909236,name,Arrasate kalea
23909236,oneway,yes
23909236,highway,residential
23909238,name,Arrasate kalea
23909238,oneway,yes
23909238,bicycle,yes
23909238,highway,residential
23909238,maxspeed,30 mph
23909239,name,San Martzial kalea
23909239,bicycle,yes
23909239,highway,pedestrian
23909239,name:es,Calle San Marcial
23909240,name,San Martzial kalea
23909240,highway,residential
23909240,name:es,Calle San Marcial
23909591,name,Zumalakarregi hiribidea/Avenida de Zumalacárregui
23909591,lanes,2
23909591,oneway,yes
23909591,highway,secondary
23909591,name:es,Avenida de Zumalacárregui
23909591,name:eu,Zumalakarregi Hiribidea
23909592,name,Calle Trento kalea
23909592,oneway,yes
23909592,highway,residential
23909593,name,Avenida de Tolosa hiribidea
23909593,lanes,2
23909593,oneway,yes
23909593,highway,secondary
23909594,name,Zumalakarregi hiribidea
23909594,lanes,2
23909594,oneway,yes
23909594,highway,secondary
23909594,name:es,Avenida de Zumalacárregui
23909594,name:eu,Zumalakarregi hiribidea
23909595,name,Avenida de Tolosa
23909595,oneway,yes
23909595,highway,residential
23909709,foot,no
23909709,name,Avenida de Tolosa hiribidea
23909709,lanes,2
23909709,oneway,yes
23909709,highway,secondary
23912266,name,Zubieta kalea
23912266,oneway,yes
23912266,highway,secondary
23912266,name:es,Calle de Zubieta
23912267,name,Prim kalea
23912267,oneway,yes
23912267,highway,tertiary
23912267,name:es,Calle Prim
23912268,area,yes
23912268,name,Bilbao plaza
23912268,highway,pedestrian
23912269,name,Alfontso VIII.a kalea
23912269,bicycle,yes
23912269,highway,pedestrian
23912270,name,Alfontso VIII.a kalea
23912270,oneway,no
23912270,highway,service
23912270,service,parking_aisle
23912271,name,Urdaneta kalea
23912271,bicycle,yes
23912271,highway,pedestrian
23912271,name:es,Calle Urdaneta
23912272,name,Urdaneta kalea
23912272,oneway,yes
23912272,highway,residential
23912272,name:es,Calle Urdaneta
23912273,name,Errege Katolikoen kalea
23912273,bicycle,yes
23912273,highway,pedestrian
23912273,name:es,Calle de los Reyes Católicos
23912274,name,Urdaneta kalea
23912274,oneway,yes
23912274,bicycle,yes
23912274,highway,residential
23912274,name:es,Calle Urdaneta
23912274,maxspeed,30
23913873,name,San Bartolome kalea
23913873,highway,pedestrian
